stt,filename,file_path,full_text,nominal,upper_tol,lower_tol,case_type,has_fraction_line,is_boxed,angle
47,syn_000047.png,images/syn_000047.png,4.026 -0.001/-0.004,4.026,-0.001,-0.004,stacked_fraction,True,False,0.4
48,syn_000048.png,images/syn_000048.png,R4.04±0.1,R4.04,+0.1,-0.1,symmetric_tight,False,False,-0.08
49,syn_000049.png,images/syn_000049.png,Ø67.686 +0.015/0,Ø67.686,+0.015,0,stacked_normal,False,False,0.58
50,syn_000050.png,images/syn_000050.png,M12,M12,,,simple_thread_qty,False,False,-0.24
51,syn_000051.png,images/syn_000051.png,Ø56.003 +0.015/0,Ø56.003,+0.015,0,stacked_fraction,True,False,-0.1
52,syn_000052.png,images/syn_000052.png,Ø32.506 +0.05/-0.002,Ø32.506,+0.05,-0.002,stacked_normal,False,False,1.87
53,syn_000053.png,images/syn_000053.png,0.25 TYP,0.25 TYP,,,simple_boxed_ref,False,False,-0.25
54,syn_000054.png,images/syn_000054.png,Ø50.00±0.015,Ø50.00,+0.015,-0.015,symmetric_tight,False,False,0.54
55,syn_000055.png,images/syn_000055.png,C16 +0.01/0,C16,+0.01,0,stacked_fraction,True,False,-0.72
56,syn_000056.png,images/syn_000056.png,C12.150±0.002,C12.150,+0.002,-0.002,symmetric_tight,False,False,-0.51
57,syn_000057.png,images/syn_000057.png,50.324 0/-0.008,50.324,0,-0.008,stacked_normal,False,False,-0.72
58,syn_000058.png,images/syn_000058.png,90° 55',90° 55',,,angle_dms_min,False,False,-0.04
59,syn_000059.png,images/syn_000059.png,60 +0.004/+0.002,60,+0.004,+0.002,stacked_fraction,True,False,0.16
60,syn_000060.png,images/syn_000060.png,Ø12.150±0.1,Ø12.150,+0.1,-0.1,symmetric_tight,False,False,0.29
61,syn_000061.png,images/syn_000061.png,73.65,73.65,,,simple_nominal_plain,False,False,0.59
62,syn_000062.png,images/syn_000062.png,R12.50 0/-0.015,R12.50,0,-0.015,stacked_normal,False,False,0.32
63,syn_000063.png,images/syn_000063.png,57.63 0/-0.008,57.63,0,-0.008,stacked_normal,False,False,0.09
64,syn_000064.png,images/syn_000064.png,0.2043 +0.006/+0.001,0.2043,+0.006,+0.001,stacked_fraction,True,False,-0.66
65,syn_000065.png,images/syn_000065.png,45°34',45°34',,,angle_dms_min,False,False,14.08
66,syn_000066.png,images/syn_000066.png,56.881±0.05,56.881,+0.05,-0.05,symmetric_tight,False,False,0.23
67,syn_000067.png,images/syn_000067.png,0.523°,0.523°,,,angle_decimal_deg,False,False,45.47
68,syn_000068.png,images/syn_000068.png,"2°47'51""","2°47'51""",,,angle_dms_full,False,False,15.96
69,syn_000069.png,images/syn_000069.png,M9.727 0/-0.002,M9.727,0,-0.002,stacked_fraction,True,False,-0.55
70,syn_000070.png,images/syn_000070.png,Ø10 +0.01/-0.02,Ø10,+0.01,-0.02,stacked_fraction,True,False,-0.19
71,syn_000071.png,images/syn_000071.png,C0.5,C0.5,,,simple_chamfer,False,False,44.64
72,syn_000072.png,images/syn_000072.png,62.216 -0.001/-0.004,62.216,-0.001,-0.004,stacked_normal,False,False,-0.56
73,syn_000073.png,images/syn_000073.png,69.635±0.025,69.635,+0.025,-0.025,symmetric_tight,False,False,-0.77
74,syn_000074.png,images/syn_000074.png,59.688 +0.002/0,59.688,+0.002,0,stacked_fraction,True,False,-3.59
75,syn_000075.png,images/syn_000075.png,C0.3893±0.01,C0.3893,+0.01,-0.01,symmetric_tight,False,False,-0.11
76,syn_000076.png,images/syn_000076.png,40 +0.01/-0.03,40,+0.01,-0.03,stacked_fraction,True,False,-0.0
77,syn_000077.png,images/syn_000077.png,10.50 0/-0.003,10.50,0,-0.003,stacked_fraction,True,False,0.17
78,syn_000078.png,images/syn_000078.png,R0.5MIN,R0.5MIN,,,simple_radius_corner,False,False,28.87
79,syn_000079.png,images/syn_000079.png,22.709 +0.005/-0.002,22.709,+0.005,-0.002,stacked_fraction,True,False,-0.3
80,syn_000080.png,images/syn_000080.png,6.513 -0.003/-0.008,6.513,-0.003,-0.008,stacked_fraction,True,False,-0.13
81,syn_000081.png,images/syn_000081.png,25.259±0.02,25.259,+0.02,-0.02,symmetric_tight,False,False,0.22
82,syn_000082.png,images/syn_000082.png,10.50±0.015,10.50,+0.015,-0.015,symmetric_tight,False,False,0.29
83,syn_000083.png,images/syn_000083.png,56.003 +0.005/-0.002,56.003,+0.005,-0.002,stacked_normal,False,False,-0.6
84,syn_000084.png,images/syn_000084.png,R4.04±0.05,R4.04,+0.05,-0.05,symmetric_tight,False,False,-0.23
85,syn_000085.png,images/syn_000085.png,Ø14.941 +0.015/-0.03,Ø14.941,+0.015,-0.03,stacked_fraction,True,False,-0.32
86,syn_000086.png,images/syn_000086.png,16.350 +0.007/+0.002,16.350,+0.007,+0.002,stacked_normal,False,False,0.22
87,syn_000087.png,images/syn_000087.png,16.350 +0.005/0,16.350,+0.005,0,stacked_normal,False,False,0.55
88,syn_000088.png,images/syn_000088.png,90°,90°,,,simple_angle_simple,False,False,-14.52
89,syn_000089.png,images/syn_000089.png,"30°53'42""","30°53'42""",,,angle_dms_full,False,False,-45.87
90,syn_000090.png,images/syn_000090.png,R74.462 +0.03/0,R74.462,+0.03,0,stacked_normal,False,False,0.78
91,syn_000091.png,images/syn_000091.png,86.213 +0.015/0,86.213,+0.015,0,stacked_normal,False,False,0.19
92,syn_000092.png,images/syn_000092.png,11.89 0/-0.008,11.89,0,-0.008,stacked_fraction,True,False,0.43
93,syn_000093.png,images/syn_000093.png,2.160 0/-0.01,2.160,0,-0.01,stacked_fraction,True,False,-0.7
94,syn_000094.png,images/syn_000094.png,45° 46',45° 46',,,angle_dms_min,False,False,0.22
95,syn_000095.png,images/syn_000095.png,Ø55.086 +0.03/0,Ø55.086,+0.03,0,stacked_normal,False,False,-0.4
96,syn_000096.png,images/syn_000096.png,Ø47.702 0/-0.03,Ø47.702,0,-0.03,stacked_normal,False,False,-5.43
97,syn_000097.png,images/syn_000097.png,12.50 -0.005/-0.008,12.50,-0.005,-0.008,stacked_fraction,True,False,0.75
98,syn_000098.png,images/syn_000098.png,Ø83.836 +0.008/+0.005,Ø83.836,+0.008,+0.005,stacked_fraction,True,False,-0.79
99,syn_000099.png,images/syn_000099.png,Ø20 0/-0.003,Ø20,0,-0.003,stacked_normal,False,False,0.49
100,syn_000100.png,images/syn_000100.png,R0.1 MAX,R0.1 MAX,,,simple_radius_corner,False,False,-0.24
101,syn_000101.png,images/syn_000101.png,57.63 +0.006/+0.001,57.63,+0.006,+0.001,stacked_fraction,True,False,-0.76
102,syn_000102.png,images/syn_000102.png,Ø0.290 +0.01/0,Ø0.290,+0.01,0,stacked_normal,False,False,-0.2
103,syn_000103.png,images/syn_000103.png,Ø8 +0.004/+0.002,Ø8,+0.004,+0.002,stacked_normal,False,False,-0.12
104,syn_000104.png,images/syn_000104.png,Ø26.197 -0.005/-0.008,Ø26.197,-0.005,-0.008,stacked_normal,False,False,-0.29
105,syn_000105.png,images/syn_000105.png,27.938 +0.05/0,27.938,+0.05,0,stacked_fraction,True,False,-0.08
106,syn_000106.png,images/syn_000106.png,35.916 0/-0.002,35.916,0,-0.002,stacked_fraction,True,False,-0.1
107,syn_000107.png,images/syn_000107.png,86.078 -0.01/-0.012,86.078,-0.01,-0.012,stacked_normal,False,False,0.18
108,syn_000108.png,images/syn_000108.png,5.04 0/-0.03,5.04,0,-0.03,stacked_normal,False,False,-0.3
109,syn_000109.png,images/syn_000109.png,15°,15°,,,simple_angle_simple,False,False,-0.59
110,syn_000110.png,images/syn_000110.png,R35.726±0.005,R35.726,+0.005,-0.005,symmetric_tight,False,False,0.64
111,syn_000111.png,images/syn_000111.png,50 TYP,50 TYP,,,simple_boxed_ref,False,False,-0.46
112,syn_000112.png,images/syn_000112.png,50.324 0/-0.005,50.324,0,-0.005,stacked_fraction,True,False,-0.48
113,syn_000113.png,images/syn_000113.png,R5 MAX,R5 MAX,,,simple_radius_corner,False,False,-45.33
114,syn_000114.png,images/syn_000114.png,Ø30 +0.02/0,Ø30,+0.02,0,stacked_fraction,True,False,-1.78
115,syn_000115.png,images/syn_000115.png,12.160,12.160,,,simple_nominal_plain,False,False,-0.3
116,syn_000116.png,images/syn_000116.png,4.04 -0.005/-0.007,4.04,-0.005,-0.007,stacked_fraction,True,False,0.09
117,syn_000117.png,images/syn_000117.png,Ø88.042 0/-0.02,Ø88.042,0,-0.02,stacked_fraction,True,False,0.97
118,syn_000118.png,images/syn_000118.png,60°±0.5°,60°,+0.5°,-0.5°,angle_dms_tol,False,False,-29.48
119,syn_000119.png,images/syn_000119.png,17.257 0/-0.02,17.257,0,-0.02,stacked_fraction,True,False,-0.48
120,syn_000120.png,images/syn_000120.png,0.3077 -0.005/-0.007,0.3077,-0.005,-0.007,stacked_normal,False,False,0.5
121,syn_000121.png,images/syn_000121.png,R0.05,R0.05,,,simple_radius_corner,False,False,-14.52
122,syn_000122.png,images/syn_000122.png,0.052°,0.052°,,,angle_decimal_deg,False,False,13.87
123,syn_000123.png,images/syn_000123.png,16.350 +0.01/+0.005,16.350,+0.01,+0.005,stacked_fraction,True,False,-0.53
124,syn_000124.png,images/syn_000124.png,90°±15',90°,+15',-15',angle_dms_tol,False,False,-44.01
125,syn_000125.png,images/syn_000125.png,Ø8.490 +0.02/-0.02,Ø8.490,+0.02,-0.02,stacked_fraction,True,False,-0.19
126,syn_000126.png,images/syn_000126.png,5.04±0.002,5.04,+0.002,-0.002,symmetric_tight,False,False,-0.21
127,syn_000127.png,images/syn_000127.png,R73.65 0/-0.002,R73.65,0,-0.002,stacked_fraction,True,False,0.38
128,syn_000128.png,images/syn_000128.png,2X Ø5,2X Ø5,,,simple_thread_qty,False,False,-0.68
129,syn_000129.png,images/syn_000129.png,12.50 0/-0.003,12.50,0,-0.003,stacked_normal,False,False,-0.74
130,syn_000130.png,images/syn_000130.png,0.0558 -0.002/-0.004,0.0558,-0.002,-0.004,stacked_normal,False,False,0.32
131,syn_000131.png,images/syn_000131.png,11.89 +0.02/-0.03,11.89,+0.02,-0.03,stacked_normal,False,False,0.18
132,syn_000132.png,images/syn_000132.png,16.350 0/-0.002,16.350,0,-0.002,stacked_fraction,True,False,0.24
133,syn_000133.png,images/syn_000133.png,0.1524±0.015,0.1524,+0.015,-0.015,symmetric_tight,False,False,-0.71
134,syn_000134.png,images/syn_000134.png,12°31',12°31',,,angle_dms_min,False,False,0.3
135,syn_000135.png,images/syn_000135.png,R8.308 0/-0.015,R8.308,0,-0.015,stacked_fraction,True,False,-0.05
136,syn_000136.png,images/syn_000136.png,16.350 +0.02/0,16.350,+0.02,0,stacked_normal,False,False,0.65
137,syn_000137.png,images/syn_000137.png,56.003 +0.003/0,56.003,+0.003,0,stacked_normal,False,False,-0.63
138,syn_000138.png,images/syn_000138.png,10.50 +0.005/0,10.50,+0.005,0,stacked_fraction,True,False,0.27
139,syn_000139.png,images/syn_000139.png,Ø31.106 +0.002/0,Ø31.106,+0.002,0,stacked_fraction,True,False,-0.5
140,syn_000140.png,images/syn_000140.png,R0.2 MAX,R0.2 MAX,,,simple_radius_corner,False,False,-0.46
141,syn_000141.png,images/syn_000141.png,R0.05MAX,R0.05MAX,,,simple_radius_corner,False,False,0.2
142,syn_000142.png,images/syn_000142.png,14.615 -0.005/-0.008,14.615,-0.005,-0.008,stacked_fraction,True,False,-0.03
143,syn_000143.png,images/syn_000143.png,M12,M12,,,simple_thread_qty,False,False,-0.56
144,syn_000144.png,images/syn_000144.png,R0.12MIN,R0.12MIN,,,simple_radius_corner,False,False,-0.13
145,syn_000145.png,images/syn_000145.png,0.613 +0.005/-0.005,0.613,+0.005,-0.005,stacked_normal,False,False,-0.93
146,syn_000146.png,images/syn_000146.png,83.261 +0.004/+0.001,83.261,+0.004,+0.001,stacked_fraction,True,False,0.34
147,syn_000147.png,images/syn_000147.png,0.262°,0.262°,,,angle_decimal_deg,False,False,13.88
148,syn_000148.png,images/syn_000148.png,M55.356 0/-0.05,M55.356,0,-0.05,stacked_fraction,True,False,-0.32
149,syn_000149.png,images/syn_000149.png,13.259 +0.03/0,13.259,+0.03,0,stacked_fraction,True,False,0.7
150,syn_000150.png,images/syn_000150.png,2.284 +0.005/0,2.284,+0.005,0,stacked_fraction,True,False,0.28
151,syn_000151.png,images/syn_000151.png,Ø15.434 0/-0.015,Ø15.434,0,-0.015,stacked_fraction,True,False,5.33
152,syn_000152.png,images/syn_000152.png,0.896±0.05,0.896,+0.05,-0.05,symmetric_tight,False,False,0.48
153,syn_000153.png,images/syn_000153.png,15°56',15°56',,,angle_dms_min,False,False,14.25
154,syn_000154.png,images/syn_000154.png,20 0/-0.002,20,0,-0.002,stacked_normal,False,False,-1.96
155,syn_000155.png,images/syn_000155.png,60°±5',60°,+5',-5',angle_dms_tol,False,False,0.69
156,syn_000156.png,images/syn_000156.png,Ø8,Ø8,,,simple_diameter,False,False,-0.8
157,syn_000157.png,images/syn_000157.png,Ø0.3126±0.01,Ø0.3126,+0.01,-0.01,symmetric_tight,False,False,-0.01
158,syn_000158.png,images/syn_000158.png,C3.032 +0.002/0,C3.032,+0.002,0,stacked_fraction,True,False,0.32
159,syn_000159.png,images/syn_000159.png,10.535 +0.006/+0.001,10.535,+0.006,+0.001,stacked_normal,False,False,0.36
160,syn_000160.png,images/syn_000160.png,"25°58'15""","25°58'15""",,,angle_dms_full,False,False,0.55
161,syn_000161.png,images/syn_000161.png,Ø50.00 +0.02/0,Ø50.00,+0.02,0,stacked_normal,False,False,-0.46
162,syn_000162.png,images/syn_000162.png,5.04 0/-0.01,5.04,0,-0.01,stacked_normal,False,False,0.32
163,syn_000163.png,images/syn_000163.png,3.032 +0.013/+0.01,3.032,+0.013,+0.01,stacked_fraction,True,False,0.35
164,syn_000164.png,images/syn_000164.png,7.525 +0.03/0,7.525,+0.03,0,stacked_fraction,True,False,0.08
165,syn_000165.png,images/syn_000165.png,18.653 -0.005/-0.008,18.653,-0.005,-0.008,stacked_normal,False,False,0.1
166,syn_000166.png,images/syn_000166.png,Ø0.3856 -0.003/-0.006,Ø0.3856,-0.003,-0.006,stacked_fraction,True,False,-0.08
167,syn_000167.png,images/syn_000167.png,60°27',60°27',,,angle_dms_min,False,False,0.49
168,syn_000168.png,images/syn_000168.png,57.340±0.025,57.340,+0.025,-0.025,symmetric_tight,False,False,0.58
169,syn_000169.png,images/syn_000169.png,90.228 +0.015/+0.01,90.228,+0.015,+0.01,stacked_fraction,True,False,-0.34
170,syn_000170.png,images/syn_000170.png,"30°15'13""","30°15'13""",,,angle_dms_full,False,False,16.29
171,syn_000171.png,images/syn_000171.png,21.191±0.005,21.191,+0.005,-0.005,symmetric_tight,False,False,0.49
172,syn_000172.png,images/syn_000172.png,14.941 +0.015/0,14.941,+0.015,0,stacked_normal,False,False,0.62
173,syn_000173.png,images/syn_000173.png,"2°10'20""","2°10'20""",,,angle_dms_full,False,False,0.53
174,syn_000174.png,images/syn_000174.png,C0.25 +0.002/0,C0.25,+0.002,0,stacked_fraction,True,False,2.3
175,syn_000175.png,images/syn_000175.png,73.65 -0.01/-0.013,73.65,-0.01,-0.013,stacked_normal,False,False,-0.79
176,syn_000176.png,images/syn_000176.png,Ø82.380 +0.012/+0.01,Ø82.380,+0.012,+0.01,stacked_normal,False,False,0.36
177,syn_000177.png,images/syn_000177.png,3.285 0/-0.008,3.285,0,-0.008,stacked_fraction,True,False,-0.59
178,syn_000178.png,images/syn_000178.png,M73.65 +0.015/-0.02,M73.65,+0.015,-0.02,stacked_fraction,True,False,0.29
179,syn_000179.png,images/syn_000179.png,15°16',15°16',,,angle_dms_min,False,False,0.61
180,syn_000180.png,images/syn_000180.png,"15°43'28""","15°43'28""",,,angle_dms_full,False,False,0.78
181,syn_000181.png,images/syn_000181.png,0.0599 +0.015/0,0.0599,+0.015,0,stacked_fraction,True,False,0.53
182,syn_000182.png,images/syn_000182.png,R0.03MAX,R0.03MAX,,,simple_radius_corner,False,False,0.46
183,syn_000183.png,images/syn_000183.png,50.00 0/-0.002,50.00,0,-0.002,stacked_normal,False,False,-0.57
184,syn_000184.png,images/syn_000184.png,0.2229±0.02,0.2229,+0.02,-0.02,symmetric_tight,False,False,0.33
185,syn_000185.png,images/syn_000185.png,75.445±0.05,75.445,+0.05,-0.05,symmetric_tight,False,False,0.79
186,syn_000186.png,images/syn_000186.png,R12.160 +0.003/0,R12.160,+0.003,0,stacked_normal,False,False,-0.77
187,syn_000187.png,images/syn_000187.png,56.003 -0.002/-0.005,56.003,-0.002,-0.005,stacked_fraction,True,False,-0.07
188,syn_000188.png,images/syn_000188.png,R1.5 MAX,R1.5 MAX,,,simple_radius_corner,False,False,-14.35
189,syn_000189.png,images/syn_000189.png,M29.732 +0.02/0,M29.732,+0.02,0,stacked_fraction,True,False,-0.32
190,syn_000190.png,images/syn_000190.png,"45°8'56""","45°8'56""",,,angle_dms_full,False,False,-61.19
191,syn_000191.png,images/syn_000191.png,R2.160 -0.01/-0.013,R2.160,-0.01,-0.013,stacked_normal,False,False,0.53
192,syn_000192.png,images/syn_000192.png,16.350 0/-0.003,16.350,0,-0.003,stacked_normal,False,False,0.77
193,syn_000193.png,images/syn_000193.png,R0.25,R0.25,,,simple_radius_corner,False,False,0.05
194,syn_000194.png,images/syn_000194.png,Ø16,Ø16,,,simple_diameter,False,False,0.59
195,syn_000195.png,images/syn_000195.png,32 +0.003/+0.001,32,+0.003,+0.001,stacked_normal,False,False,0.05
196,syn_000196.png,images/syn_000196.png,89.353 0/-0.02,89.353,0,-0.02,stacked_fraction,True,False,0.35
197,syn_000197.png,images/syn_000197.png,Ø4.127 +0.003/0,Ø4.127,+0.003,0,stacked_normal,False,False,0.41
198,syn_000198.png,images/syn_000198.png,Ø2.75 -0.003/-0.006,Ø2.75,-0.003,-0.006,stacked_fraction,True,False,-0.53
199,syn_000199.png,images/syn_000199.png,50.00 +0.015/-0.01,50.00,+0.015,-0.01,stacked_fraction,True,False,-0.38
200,syn_000200.png,images/syn_000200.png,Ø35.726±0.025,Ø35.726,+0.025,-0.025,symmetric_tight,False,False,0.03
201,syn_000201.png,images/syn_000201.png,5.04 +0.007/+0.002,5.04,+0.007,+0.002,stacked_normal,False,False,0.29
202,syn_000202.png,images/syn_000202.png,12.50 +0.013/+0.01,12.50,+0.013,+0.01,stacked_normal,False,False,-0.24
203,syn_000203.png,images/syn_000203.png,28°20',28°20',,,angle_dms_min,False,False,-44.14
204,syn_000204.png,images/syn_000204.png,120°,120°,,,simple_angle_simple,False,False,-0.63
205,syn_000205.png,images/syn_000205.png,44.564 -0.003/-0.005,44.564,-0.003,-0.005,stacked_fraction,True,False,0.18
206,syn_000206.png,images/syn_000206.png,Ø5.04 0/-0.003,Ø5.04,0,-0.003,stacked_fraction,True,False,0.56
207,syn_000207.png,images/syn_000207.png,0°22',0°22',,,angle_dms_min,False,False,-0.61
208,syn_000208.png,images/syn_000208.png,9.588 0/-0.03,9.588,0,-0.03,stacked_fraction,True,False,0.8
209,syn_000209.png,images/syn_000209.png,Ø24.50 +0.015/0,Ø24.50,+0.015,0,stacked_normal,False,False,-0.73
210,syn_000210.png,images/syn_000210.png,R0.2,R0.2,,,simple_radius_corner,False,False,0.12
211,syn_000211.png,images/syn_000211.png,R0.2MAX,R0.2MAX,,,simple_radius_corner,False,False,-30.16
212,syn_000212.png,images/syn_000212.png,81.430 +0.002/0,81.430,+0.002,0,stacked_normal,False,False,0.0
213,syn_000213.png,images/syn_000213.png,Ø24.50 +0.005/-0.03,Ø24.50,+0.005,-0.03,stacked_fraction,True,False,-0.63
214,syn_000214.png,images/syn_000214.png,"2°35'27""","2°35'27""",,,angle_dms_full,False,False,-0.32
215,syn_000215.png,images/syn_000215.png,Ø0.652 0/-0.003,Ø0.652,0,-0.003,stacked_normal,False,False,0.29
216,syn_000216.png,images/syn_000216.png,M80.868 +0.01/+0.005,M80.868,+0.01,+0.005,stacked_fraction,True,False,-0.12
217,syn_000217.png,images/syn_000217.png,R1.0MAX,R1.0MAX,,,simple_radius_corner,False,False,-0.79
218,syn_000218.png,images/syn_000218.png,15.80 0/-0.015,15.80,0,-0.015,stacked_normal,False,False,0.06
219,syn_000219.png,images/syn_000219.png,0°23',0°23',,,angle_dms_min,False,False,-46.35
220,syn_000220.png,images/syn_000220.png,5.04 -0.002/-0.007,5.04,-0.002,-0.007,stacked_fraction,True,False,5.69
221,syn_000221.png,images/syn_000221.png,Ø5.04±0.002,Ø5.04,+0.002,-0.002,symmetric_tight,False,False,0.41
222,syn_000222.png,images/syn_000222.png,12.155,12.155,,,simple_boxed_ref,False,True,-0.31
223,syn_000223.png,images/syn_000223.png,70.299±0.025,70.299,+0.025,-0.025,symmetric_tight,False,False,1.6
224,syn_000224.png,images/syn_000224.png,60°±5',60°,+5',-5',angle_dms_tol,False,False,43.58
225,syn_000225.png,images/syn_000225.png,12.160 +0.004/+0.002,12.160,+0.004,+0.002,stacked_fraction,True,False,0.35
226,syn_000226.png,images/syn_000226.png,50.00±0.015,50.00,+0.015,-0.015,symmetric_tight,False,False,0.77
227,syn_000227.png,images/syn_000227.png,12.150 +0.004/+0.002,12.150,+0.004,+0.002,stacked_fraction,True,False,-0.66
228,syn_000228.png,images/syn_000228.png,0.4808±0.1,0.4808,+0.1,-0.1,symmetric_tight,False,False,-0.48
229,syn_000229.png,images/syn_000229.png,5°32',5°32',,,angle_dms_min,False,False,29.73
230,syn_000230.png,images/syn_000230.png,50.324 +0.013/+0.01,50.324,+0.013,+0.01,stacked_normal,False,False,0.09
231,syn_000231.png,images/syn_000231.png,"0°48'13""","0°48'13""",,,angle_dms_full,False,False,-61.4
232,syn_000232.png,images/syn_000232.png,Ø12.155 +0.015/0,Ø12.155,+0.015,0,stacked_fraction,True,False,-0.52
233,syn_000233.png,images/syn_000233.png,8.308 +0.01/0,8.308,+0.01,0,stacked_normal,False,False,-0.56
234,syn_000234.png,images/syn_000234.png,16.350 +0.02/-0.03,16.350,+0.02,-0.03,stacked_fraction,True,False,-0.55
235,syn_000235.png,images/syn_000235.png,Ø84.895 +0.004/+0.001,Ø84.895,+0.004,+0.001,stacked_fraction,True,False,-0.65
236,syn_000236.png,images/syn_000236.png,Ø89.402 0/-0.02,Ø89.402,0,-0.02,stacked_fraction,True,False,5.78
